,Data,LDA_topic,LDA_topic_tfidf
1949,how to i take my favourite ringtone of hindi,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
1950,how to i take otp message for myideaapp,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
1951,how to i unlock my 1 gb data,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.120*""coupon"" + 0.115*""download"" + 0.108*""rington"" + 0.068*""unlock"""
1952,how to i use this voucher,"0.454*""voucher"" + 0.320*""recharg"" + 0.046*""rupe"" + 0.039*""ideatv""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1953,how to identify ideaid,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
1954,how to identify my user id,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
1955,how to identify the password,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
1956,how to impress my wife,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
1957,how to impress myidea,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
1958,how to improv my network area,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1959,how to improve,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1960,how to improve download speed and upload speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1961,how to improve improve,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1962,how to improve it,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1963,how to improve ideanet speed,"0.194*""mobil"" + 0.170*""check"" + 0.118*""help"" + 0.061*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1964,how to improve ideanetwork,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1965,how to improve my mobile data speed,"0.194*""mobil"" + 0.170*""check"" + 0.118*""help"" + 0.061*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1966,how to improve my net speed,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1967,how to improve my network,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1968,how to improve my network speed,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1969,how to improve my signal strength from 99dbm,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
1970,how to improve net speed,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1971,how to improve network,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1972,how to improve network connection,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1973,how to improve network problem,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1974,how to improve our signal and data speed,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1975,how to improve oure network,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1976,how to improve signal level,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1977,how to improve speed,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1978,how to improve the username and sign in,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
1979,how to improve this,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1980,how to in idea,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
1981,how to incerase the download speed,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.120*""coupon"" + 0.115*""download"" + 0.108*""rington"" + 0.068*""unlock"""
1982,how to incrase my internet speed,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1983,how to increase,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1984,how to increase 2gb per day,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1985,how to increase after 21,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1986,how to increase browsing sped,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1987,how to increase data,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1988,how to increase data in today,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1989,how to increase data speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1990,how to increase data speed it is below threshold limit,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1991,how to increase data speeds,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1992,how to increase dbm,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1993,how to increase height with data,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1994,how to increase history,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
1995,how to increase how to implement networks,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1996,how to increase internet speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1997,how to increase internet speed of my mobile network,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1998,how to increase internet speed on honor 8 pro,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
1999,how to increase it,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2000,how to increase idea downloading speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2001,how to increase idea fi net speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2002,how to increase ideafi net speef,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
2003,how to increase ideainternet speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2004,how to increase ideanet,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2005,how to increase ideanet speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2006,how to increase ideanet speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2007,how to increase ideanetwork speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2008,how to increase length of the area,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2009,how to increase my,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2010,how to increase my balance in my account,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
2011,how to increase my data,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2012,how to increase my data for,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2013,how to increase my data pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2014,how to increase my internet,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2015,how to increase my internet db,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2016,how to increase my network,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2017,how to increase my phone speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2018,how to increase my ram,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2019,how to increase myidea,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2020,how to increase myideainternet speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2021,how to increase myideanet,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
2022,how to increase myideanet working,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
2023,how to increase myideanetwork,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2024,how to increase net speed network speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2025,how to increase network area,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2026,how to increase network strength,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2027,how to increase postpaid data,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.120*""coupon"" + 0.115*""download"" + 0.108*""rington"" + 0.068*""unlock"""
2028,how to increase singer,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2029,how to increase speed ideanet,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2030,how to increase speed limit,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2031,how to increase speed of network to maximum,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2032,how to increase speef,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2033,how to increase strength,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
2034,how to increase the download speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2035,how to increase the network,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2036,how to increase the signal of idea mobile,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2037,how to increase the speed of ideanet,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2038,how to increase the speed of ideanetwork,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2039,how to increase the speed of myideainternet,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2040,how to increase the speed of net,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2041,how to increase the speed of the net,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2042,how to increase the validity,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
2043,how to increase voice,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
2044,how to increase volume of ideaphone,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2045,how to increase weight,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2046,how to increased data,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2047,how to increse the idea speed,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2048,how to indifaind internet speerd,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
2049,how to inprove myidea data speed,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2050,how to insert data,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
2051,how to insert sim number on another mobile phone in same plan,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
2052,how to insert the penis,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
2053,how to install,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2054,how to install a mobile tower in my land,"0.194*""mobil"" + 0.170*""check"" + 0.118*""help"" + 0.061*""recharg""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
2055,how to install again channel,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2056,how to install and create the account ideaapps like ideacinema ideatv,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2057,how to install for internet,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2058,how to install gapps,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2059,how to install hotstar,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.120*""coupon"" + 0.115*""download"" + 0.108*""rington"" + 0.068*""unlock"""
2060,how to install idea aap,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2061,how to install idea tower,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
2062,how to install idea voice,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
2063,how to install idea4gvoice,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
2064,how to install idea4gvoice call,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
2065,how to install ideaapp,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2066,how to install ideamusic,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2067,how to install ideaphone,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2068,how to install ideatv,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2069,how to install ideatv app,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2070,how to install land phonr,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2071,how to install my mobile number,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.243*""recharg"" + 0.132*""phone"" + 0.125*""mobil"" + 0.091*""remov"""
2072,how to install myideaapp,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2073,how to install myideaapp in my android mobile,"0.194*""mobil"" + 0.170*""check"" + 0.118*""help"" + 0.061*""recharg""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2074,how to install players play store 2,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2075,how to install the apps,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
2076,how to install the idea without data connection app,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2077,how to install the ideasim and other four g phone,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2078,how to install to ideasim other four g phones,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2079,how to install what is app in ideaphone,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
2080,how to instol to code,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
2081,how to internet,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
2082,how to internet banking,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
2083,how to internet fast,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
2084,how to internet high speed,"0.194*""mobil"" + 0.170*""check"" + 0.118*""help"" + 0.061*""recharg""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
2085,how to internet koti very fast,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
2086,how to internet speerd,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
2087,how to internet used to gb,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
2088,how to iron the cotton pant with iron box at home,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.203*""chang"" + 0.076*""login"" + 0.059*""ideamus"" + 0.054*""today"""
2089,how to ivr found,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
2090,how to idea,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
